match_no,date,venue,group,match,1,2,attendance,1_xg,2_xg,1_poss,2_poss,1_goals,2_goals,score,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_ontarget,2_ontarget,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_yellow_cards,2_yellow_cards,1_red_cards,2_red_cards,faul_against_1,faul_against_2,1_offsides,2_offsides,1_passes,2_passes,1_passes_compeletd,2_passes_compeletd,1_corners,2_corners,1_free_kicks,2_free_kicks,1_panelties_scored,2_panelties_scored,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_defensive_pressure_applied,2_defensive_pressure_applied,Result,1_pass_success,2_pass_success,winning_pass_success,Team_1_Goals_Diff,Team_2_Goals_Diff
34,29-Nov-22,Al Bayt Stadium,Group A,ECUADOR vs SENEGAL,ECUADOR,SENEGAL,66784,1.6,0.1,0.63,0.37,1,2,"2,0",8,15,2,1,1,2,0,0,4,5,3,8,5,11,3,4,0,1,0,0,23,11,0,3,432,269,353,198,3,6,14,22,0,1,15,8,0,0,190,243,SENEGAL,0.8171296296296297,0.7360594795539034,0.7360594795539034,-0.6000000000000001,1.9
35,29-Nov-22,Ahmed bin Ali Stadium,Group B,WALES vs ENGLAND,WALES,ENGLAND,44297,0.3,2.4,0.36,0.64,0,3,"0,3",7,17,3,0,0,2,0,1,1,7,3,6,1,13,6,4,2,0,0,0,16,9,1,1,325,588,261,529,1,6,10,17,0,0,17,8,0,0,328,167,ENGLAND,0.803076923076923,0.8996598639455783,0.8996598639455783,-0.3,0.6000000000000001
36,29-Nov-22,Al Thumama Stadium,Group B,IRAN vs UNITED STATES,IRAN,UNITED STATES,42127,0.4,1.2,0.49,0.51,0,1,"0,1",6,12,1,0,0,1,0,0,2,5,4,4,5,8,1,4,3,1,0,0,13,10,2,1,463,470,379,413,1,5,11,15,0,0,13,6,0,0,295,302,UNITED STATES,0.8185745140388769,0.8787234042553191,0.8787234042553191,-0.4,-0.19999999999999996
37,30-Nov-22,Al Janoub Stadium,Group D,AUSTRALIA vs DENMARK,AUSTRALIA,DENMARK,41232,0.6,0.6,0.32,0.68,1,0,"1,0",8,14,0,1,1,0,0,0,4,3,2,7,3,11,5,3,2,1,0,0,11,10,1,3,286,650,187,567,2,6,13,12,0,0,14,8,0,0,341,161,AUSTRALIA,0.6538461538461539,0.8723076923076923,0.6538461538461539,0.4,-0.6
38,30-Nov-22,Education City Stadium,Group D,TUNISIA vs FRANCE,TUNISIA,FRANCE,43627,0.5,0.8,0.35,0.65,1,0,"1,0",5,9,0,1,0,0,1,0,3,3,2,4,2,4,3,5,1,0,0,0,14,6,3,2,328,636,266,566,7,8,8,17,0,0,11,6,0,0,400,202,TUNISIA,0.8109756097560976,0.889937106918239,0.8109756097560976,0.5,-0.8
39,30-Nov-22,Lusail Iconic Stadium,Group C,POLAND vs ARGENTINA,POLAND,ARGENTINA,84985,1.1,2.3,0.4,0.6,0,2,"1,2",4,25,2,0,0,2,0,0,0,13,2,8,2,21,2,4,1,1,0,0,6,11,0,0,321,862,261,814,1,9,12,5,0,0,25,4,0,0,438,141,ARGENTINA,0.8130841121495327,0.9443155452436195,0.9443155452436195,-1.1,-0.2999999999999998
40,30-Nov-22,Stadium 974,Group C,SAUDI ARABIA vs MEXICO,SAUDI ARABIA,MEXICO,44089,0.3,3.5,0.27,0.73,1,2,"0,2",10,25,2,1,1,1,0,1,2,10,8,8,6,10,4,15,6,1,0,0,20,18,2,6,297,412,197,336,1,8,23,22,0,0,26,10,0,0,269,229,MEXICO,0.6632996632996633,0.8155339805825242,0.8155339805825242,0.7,-1.5
41,1-Dec-22,Al Thumama Stadium,Group F,CROATIA vs BELGIUM,CROATIA,BELGIUM,43102,1.4,0.5,0.58,0.42,0,0,"1,2",11,15,0,0,0,0,0,0,4,4,5,7,7,12,4,3,0,1,0,0,7,9,4,0,578,596,504,531,2,4,9,11,0,0,16,11,0,0,328,346,Draw,0.8719723183391004,0.8909395973154363,,-1.4,-0.5
42,1-Dec-22,Ahmed bin Ali Stadium,Group F,CANADA vs MOROCCO,CANADA,MOROCCO,43984,0.7,3.0,0.49,0.51,1,2,"0,0",5,7,2,1,0,1,0,1,0,2,4,2,4,4,1,3,4,0,0,0,14,14,4,4,539,384,472,308,6,2,18,18,0,0,7,7,0,1,224,324,MOROCCO,0.87569573283859,0.8020833333333334,0.8020833333333334,0.30000000000000004,-1.0
43,1-Dec-22,Khalifa International Stadium,Group E,JAPAN vs SPAIN,JAPAN,SPAIN,44851,1.4,1.0,0.18,0.82,2,1,"2,1",6,14,1,2,1,1,1,0,3,5,2,3,4,7,2,7,3,0,0,0,9,6,2,2,225,1070,167,992,0,2,8,11,0,0,14,6,0,0,637,150,JAPAN,0.7422222222222222,0.9271028037383178,0.7422222222222222,0.6000000000000001,0.0
